"PUNTO DE INFORMACIÓN","MES","AÑO","PAIS DE PROCEDENCIA","CIUDAD DE PROCEDENCIA","CIUDAD DE DESTINO 1","CIUDAD DE DESTINO 2","CIUDAD DE DESTINO 3","CIUDAD DE DESTINO 4","CIUDAD DE DESTINO 5","SEXO","MOTIVO DEL VIAJE","TIEMPO DE PERMANENCIA EN DIAS","TIPO ALOJAMIENTO","TIPO TRANSPORTE","PRESUPUESTO","RESULTADO SATISFACCIÓN","CANTIDAD DE VIAJEROS"
"Tunja","3","2,023","Colombiano","Atlántico","Tunja","Ventaquemada","Villa de Leyva","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Cundinamarca","Paipa","Tibasosa","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Puente de Boyacá","3","2,023","Colombiano","Antioquía","Ráquira","Sáchica","Sutamarchán","Santa Sofía","Tunja","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Bolívar","Iza","Nobsa","Paipa","Ráquira","Sáchica","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Magdalena","Duitama","Monguí","Paipa","Sogamoso","Tibasosa","Masculino","Turismo Cultural.","1","Pasadía","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Puente de Boyacá","3","2,023","Colombiano","Antioquía","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","3","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Puente de Boyacá","3","2,023","Colombiano","Santander","Chiquinquirá","Paipa","Tunja","NA","NA","Masculino","Turismo de Naturaleza.","4","Posada turística","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","4"
"Puente de Boyacá","3","2,023","Colombiano","Santander","Chiquinquirá","Duitama","Nobsa","Paipa","Saboyá","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Antioquía","Paipa","Tota","Tunja","NA","NA","Masculino","Turismo de Naturaleza.","4","Finca agroturística/Alojamiento rural.","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","4"
